"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"21.09.2018","356,050","356,460","356,460","354,670","-0,08%"
"20.09.2018","356,325","360,135","360,335","356,025","-1,47%"
"19.09.2018","361,630","367,130","367,130","360,380","-1,50%"
"18.09.2018","367,120","371,620","371,620","367,120","-1,11%"
"17.09.2018","371,230","371,130","373,130","371,130","-0,26%"
"16.09.2018","372,180","372,180","372,180","372,180","0,28%"
"14.09.2018","371,130","374,130","374,680","371,130","-0,80%"
"13.09.2018","374,130","376,130","377,430","374,130","-0,87%"
"12.09.2018","377,430","380,630","380,630","377,230","-0,84%"
"11.09.2018","380,630","380,110","381,480","379,430","0,26%"
"10.09.2018","379,630","377,130","380,330","377,130","0,99%"
"09.09.2018","375,890","375,890","375,890","375,890","0,00%"
"07.09.2018","375,880","376,630","376,630","374,680","-0,20%"
"06.09.2018","376,630","371,130","376,630","371,130","1,45%"
"05.09.2018","371,230","368,530","371,230","368,130","0,71%"
"04.09.2018","368,610","366,130","368,630","366,130","0,74%"
"03.09.2018","365,910","363,270","366,070","363,270","0,58%"
"02.09.2018","363,790","363,790","363,790","363,790","0,04%"
"31.08.2018","363,630","363,630","363,630","363,630","0,00%"
"30.08.2018","363,630","363,630","363,630","363,630","0,00%"
"29.08.2018","363,630","362,330","364,160","362,330","0,48%"
"28.08.2018","361,880","361,420","361,920","361,070","0,28%"
"27.08.2018","360,880","360,430","362,080","359,120","0,42%"
"26.08.2018","359,370","359,370","359,370","359,370","-0,39%"
"24.08.2018","360,780","361,130","361,130","360,380","0,07%"
"23.08.2018","360,530","360,630","362,630","360,530","-0,30%"
"22.08.2018","361,630","361,130","362,880","360,030","0,11%"
"21.08.2018","361,230","361,230","361,230","361,230","0,00%"
"20.08.2018","361,230","361,430","361,430","360,130","0,36%"
"19.08.2018","359,950","359,950","359,950","359,950","-0,41%"
"17.08.2018","361,430","360,330","361,500","359,120","0,31%"
"16.08.2018","360,320","362,220","363,120","360,170","-0,39%"
"15.08.2018","361,720","363,120","363,120","360,920","-0,39%"
"14.08.2018","363,120","363,920","364,120","362,220","-0,22%"
"13.08.2018","363,920","359,210","363,920","359,110","1,88%"
"12.08.2018","357,220","357,220","357,220","357,220","0,00%"
"10.08.2018","357,215","355,715","357,415","355,665","0,44%"
"09.08.2018","355,660","351,110","355,960","350,610","1,30%"
"08.08.2018","351,110","349,110","351,110","348,110","0,69%"
"07.08.2018","348,710","348,910","349,310","348,110","-0,06%"
"06.08.2018","348,910","350,110","350,110","348,410","-0,12%"
"05.08.2018","349,320","349,320","349,320","349,320","-0,05%"
"03.08.2018","349,510","350,210","350,620","349,460","-0,20%"
"02.08.2018","350,210","349,110","350,250","349,010","0,34%"
"01.08.2018","349,010","347,410","349,010","347,410","0,46%"
"31.07.2018","347,405","346,605","347,525","345,605","0,23%"
"30.07.2018","346,605","346,905","347,405","346,105","-0,06%"
"29.07.2018","346,820","346,820","346,820","346,820","-0,04%"
"27.07.2018","346,960","346,210","346,960","345,810","0,21%"
"26.07.2018","346,220","345,520","346,330","345,120","0,01%"
"25.07.2018","346,170","345,270","346,670","345,270","0,26%"
"24.07.2018","345,270","345,520","345,520","344,620","-0,07%"
"23.07.2018","345,520","346,620","346,620","345,270","0,39%"
"22.07.2018","344,180","344,180","344,180","344,180","-0,70%"
"20.07.2018","346,595","346,145","346,995","345,745","0,12%"
"19.07.2018","346,170","345,020","346,220","344,820","0,33%"
"18.07.2018","345,020","343,620","345,090","343,420","0,41%"
"17.07.2018","343,620","343,120","343,730","342,520","0,32%"
"16.07.2018","342,520","342,620","343,620","342,120","0,01%"
"15.07.2018","342,500","342,500","342,500","342,500","-0,03%"
"13.07.2018","342,595","344,445","344,445","341,995","-0,54%"
"12.07.2018","344,470","344,120","344,630","344,120","0,16%"
"11.07.2018","343,920","342,820","344,400","342,320","0,32%"
"10.07.2018","342,820","344,020","344,020","342,820","-0,34%"
"09.07.2018","343,995","343,565","344,045","343,095","0,47%"
"08.07.2018","342,395","342,395","342,395","342,395","-0,41%"
"06.07.2018","343,795","343,795","343,795","343,795","0,00%"
"05.07.2018","343,795","343,195","343,795","343,095","0,17%"
"04.07.2018","343,210","342,610","343,270","342,610","0,06%"
"03.07.2018","343,010","342,110","343,370","342,110","0,41%"
"02.07.2018","341,610","341,360","342,060","341,010","0,13%"
"01.07.2018","341,150","341,150","341,150","341,150","-0,06%"
"29.06.2018","341,360","341,010","341,600","339,980","0,10%"
"28.06.2018","341,010","341,110","341,830","340,180","-0,03%"
"27.06.2018","341,110","339,610","341,210","339,480","0,47%"
"26.06.2018","339,530","339,110","339,600","338,480","0,06%"
"25.06.2018","339,310","339,850","340,010","338,950","-0,20%"
